4294708992,0,2.718902111053467,1710247339.1364105
4294696192,-12800,5.822226524353027,1710247343.1782472
4294683392,-25600,967.8836059570312,1710247347.1987019
4294670592,-38400,744.845703125,1710247351.23189
4294657792,-51200,551.2891845703125,1710247355.3071609
4294644992,-64000,408.4512939453125,1710247359.3353593
4294632192,-76800,314.60968017578125,1710247363.3741193
4294619392,-89600,266.39837646484375,1710247367.4098666
4294606592,-102400,238.54620361328125,1710247371.4525735
4294593792,-115200,29.105260848999023,1710247375.473887
4294580992,-128000,2.9246160984039307,1710247379.5053318
4294568192,-140800,3.3895864486694336,1710247383.5969298
4294555392,-153600,245.06845092773438,1710247387.626045
4294542592,-166400,293.4368591308594,1710247391.667844
4294529792,-179200,361.44512939453125,1710247395.7002583
4294516992,-192000,478.6138916015625,1710247399.7367816
4294504192,-204800,679.9351806640625,1710247403.7830114
4294491392,-217600,957.509765625,1710247407.8336854
4294478592,-230400,1182.5875244140625,1710247411.877679
4294465792,-243200,12.232007026672363,1710247415.9200656
4294452992,-256000,0.22943231463432312,1710247419.9389684
